Month,Region,Purpose,Nights
2005 Nov,Kangaroo Island,Holiday,0
2005 Nov,Kangaroo Island,Visiting friends and relatives,0
2005 Nov,Kangaroo Island,Business,0
2005 Nov,Kangaroo Island,Other reason,0
2005 Nov,Destination Perth,Holiday,174.1196407
2005 Nov,Destination Perth,Visiting friends and relatives,601.4702937
2005 Nov,Destination Perth,Business,186.8669192
2005 Nov,Destination Perth,Other reason,117.0495134
2005 Nov,Australia's Golden Outback,Holiday,138.2967905
2005 Nov,Australia's Golden Outback,Visiting friends and relatives,63.0470802
2005 Nov,Australia's Golden Outback,Business,74.5965173
2005 Nov,Australia's Golden Outback,Other reason,8.1979051
2005 Nov,Australia's North West,Holiday,205.8143981
2005 Nov,Australia's North West,Visiting friends and relatives,20.9205912
2005 Nov,Australia's North West,Business,265.0693863
2005 Nov,Australia's North West,Other reason,2.9464788
2005 Nov,Australia's South West,Holiday,260.5502458
2005 Nov,Australia's South West,Visiting friends and relatives,131.3277754
2005 Nov,Australia's South West,Business,60.9035122
2005 Nov,Australia's South West,Other reason,8.1459688
2005 Nov,Australia's Coral Coast,Holiday,114.248563
2005 Nov,Australia's Coral Coast,Visiting friends and relatives,21.3134156
2005 Nov,Australia's Coral Coast,Business,69.4227552
2005 Nov,Australia's Coral Coast,Other reason,11.9929245
2005 Nov,Hobart and the South,Holiday,172.7542267
2005 Nov,Hobart and the South,Visiting friends and relatives,86.0973375
2005 Nov,Hobart and the South,Business,102.0990772
2005 Nov,Hobart and the South,Other reason,11.473497
2005 Nov,East Coast,Holiday,65.3849241
2005 Nov,East Coast,Visiting friends and relatives,0.5141088
2005 Nov,East Coast,Business,2.209776
2005 Nov,East Coast,Other reason,0
2005 Nov,Launceston and the North,Holiday,80.7716763
2005 Nov,Launceston and the North,Visiting friends and relatives,33.3215658
2005 Nov,Launceston and the North,Business,10.897128
2005 Nov,Launceston and the North,Other reason,3.9406585
2005 Nov,North West,Holiday,27.2425833
2005 Nov,North West,Visiting friends and relatives,3.3469223
2005 Nov,North West,Business,14.3390958
2005 Nov,North West,Other reason,2.7685406
2005 Nov,West Coast,Holiday,16.9724456
2005 Nov,West Coast,Visiting friends and relatives,1.5423264
2005 Nov,West Coast,Business,0.3955058
2005 Nov,West Coast,Other reason,0
2005 Nov,Darwin,Holiday,29.07164
2005 Nov,Darwin,Visiting friends and relatives,25.3715958
2005 Nov,Darwin,Business,50.8456596
2005 Nov,Darwin,Other reason,24.6211782
2005 Nov,Barkly,Holiday,3.9594107
2005 Nov,Barkly,Visiting friends and relatives,0
2005 Nov,Barkly,Business,0.8057196
2005 Nov,Barkly,Other reason,0
2005 Nov,Alice Springs,Holiday,41.9542773
2005 Nov,Alice Springs,Visiting friends and relatives,2.489447
2005 Nov,Alice Springs,Business,17.8387296
2005 Nov,Alice Springs,Other reason,3.3703204
2005 Nov,Litchfield Kakadu Arnhem,Holiday,6.2886945
2005 Nov,Litchfield Kakadu Arnhem,Visiting friends and relatives,0.631935
2005 Nov,Litchfield Kakadu Arnhem,Business,13.6260998
2005 Nov,Litchfield Kakadu Arnhem,Other reason,0
2005 Nov,Katherine Daly,Holiday,28.0886197
2005 Nov,Katherine Daly,Visiting friends and relatives,1.8355951
2005 Nov,Katherine Daly,Business,8.6207954
2005 Nov,Katherine Daly,Other reason,0.4653014
2005 Nov,Lasseter,Holiday,13.3285787
2005 Nov,Lasseter,Visiting friends and relatives,0
2005 Nov,Lasseter,Business,3.0983148
2005 Nov,Lasseter,Other reason,0
2005 Nov,MacDonnell,Holiday,0.2014299
2005 Nov,MacDonnell,Visiting friends and relatives,0
2005 Nov,MacDonnell,Business,0
2005 Nov,MacDonnell,Other reason,0
2005 Nov,Canberra,Holiday,73.5904046
2005 Nov,Canberra,Visiting friends and relatives,120.3093633
2005 Nov,Canberra,Business,112.4426917
2005 Nov,Canberra,Other reason,13.8800628
2005 Dec,Sydney,Holiday,297.2867808
2005 Dec,Sydney,Visiting friends and relatives,1033.1535006
2005 Dec,Sydney,Business,373.7764144
2005 Dec,Sydney,Other reason,147.5607329
2005 Dec,Blue Mountains,Holiday,60.7782792
2005 Dec,Blue Mountains,Visiting friends and relatives,57.3726128
2005 Dec,Blue Mountains,Business,0
2005 Dec,Blue Mountains,Other reason,2.836918
2005 Dec,Capital Country,Holiday,40.2090954
2005 Dec,Capital Country,Visiting friends and relatives,51.4290057
2005 Dec,Capital Country,Business,13.2659095
2005 Dec,Capital Country,Other reason,13.9249305
2005 Dec,Central Coast,Holiday,128.452878
2005 Dec,Central Coast,Visiting friends and relatives,123.1493043
2005 Dec,Central Coast,Business,18.4321753
2005 Dec,Central Coast,Other reason,4.2921098
2005 Dec,Central NSW,Holiday,48.0779393
2005 Dec,Central NSW,Visiting friends and relatives,368.8501748
2005 Dec,Central NSW,Business,66.8229206
2005 Dec,Central NSW,Other reason,6.7160888
2005 Dec,Hunter,Holiday,190.9205788
2005 Dec,Hunter,Visiting friends and relatives,334.4658694
2005 Dec,Hunter,Business,126.657669
2005 Dec,Hunter,Other reason,7.0499735
2005 Dec,New England North West,Holiday,54.3215067
2005 Dec,New England North West,Visiting friends and relatives,135.4626505
2005 Dec,New England North West,Business,16.000844
2005 Dec,New England North West,Other reason,8.7334907
2005 Dec,North Coast NSW,Holiday,670.0692886
2005 Dec,North Coast NSW,Visiting friends and relatives,454.7608489
2005 Dec,North Coast NSW,Business,48.9869682
2005 Dec,North Coast NSW,Other reason,1.418459
2005 Dec,Outback NSW,Holiday,22.3169804
2005 Dec,Outback NSW,Visiting friends and relatives,22.7051101
2005 Dec,Outback NSW,Business,13.8545234
2005 Dec,Outback NSW,Other reason,8.327639
2005 Dec,Riverina,Holiday,12.6146022
2005 Dec,Riverina,Visiting friends and relatives,86.6620088
2005 Dec,Riverina,Business,24.0446065
2005 Dec,Riverina,Other reason,20.0988919
2005 Dec,Snowy Mountains,Holiday,47.7336464
2005 Dec,Snowy Mountains,Visiting friends and relatives,84.8160525
2005 Dec,Snowy Mountains,Business,30.3869456
2005 Dec,Snowy Mountains,Other reason,0
2005 Dec,South Coast,Holiday,459.3646646
2005 Dec,South Coast,Visiting friends and relatives,391.5662213
2005 Dec,South Coast,Business,46.5329361
2005 Dec,South Coast,Other reason,5.3365854
2005 Dec,The Murray,Holiday,54.5286155
2005 Dec,The Murray,Visiting friends and relatives,124.9667942
2005 Dec,The Murray,Business,29.1671153
2005 Dec,The Murray,Other reason,0
2005 Dec,Melbourne,Holiday,319.6416594
2005 Dec,Melbourne,Visiting friends and relatives,618.6408129
2005 Dec,Melbourne,Business,338.9960152
2005 Dec,Melbourne,Other reason,261.3005538
2005 Dec,Ballarat,Holiday,12.2347075
2005 Dec,Ballarat,Visiting friends and relatives,57.889338
2005 Dec,Ballarat,Business,16.3519119
2005 Dec,Ballarat,Other reason,0
2005 Dec,Bendigo Loddon,Holiday,45.3640266
2005 Dec,Bendigo Loddon,Visiting friends and relatives,38.4121703
2005 Dec,Bendigo Loddon,Business,9.4020646
2005 Dec,Bendigo Loddon,Other reason,0
2005 Dec,Central Highlands,Holiday,83.5707662
2005 Dec,Central Highlands,Visiting friends and relatives,21.0001128
2005 Dec,Central Highlands,Business,0
2005 Dec,Central Highlands,Other reason,0
2005 Dec,Central Murray,Holiday,87.9655723
2005 Dec,Central Murray,Visiting friends and relatives,72.045929
2005 Dec,Central Murray,Business,8.5213469
2005 Dec,Central Murray,Other reason,21.811746
2005 Dec,Geelong and the Bellarine,Holiday,103.0971279
2005 Dec,Geelong and the Bellarine,Visiting friends and relatives,84.8003896
2005 Dec,Geelong and the Bellarine,Business,10.7204927
2005 Dec,Geelong and the Bellarine,Other reason,0.5636401
2005 Dec,Gippsland,Holiday,73.0951117
2005 Dec,Gippsland,Visiting friends and relatives,144.5304933
2005 Dec,Gippsland,Business,11.5024996
2005 Dec,Gippsland,Other reason,17.248645
2005 Dec,Goulburn,Holiday,16.1237433
2005 Dec,Goulburn,Visiting friends and relatives,39.9836102
2005 Dec,Goulburn,Business,91.5051848
2005 Dec,Goulburn,Other reason,0
2005 Dec,Great Ocean Road,Holiday,198.3895224
2005 Dec,Great Ocean Road,Visiting friends and relatives,105.0032356
2005 Dec,Great Ocean Road,Business,57.1491183
2005 Dec,Great Ocean Road,Other reason,0.7156241
2005 Dec,High Country,Holiday,87.4612053
2005 Dec,High Country,Visiting friends and relatives,84.9013309
2005 Dec,High Country,Business,6.5673262
2005 Dec,High Country,Other reason,9.4290968
2005 Dec,Lakes,Holiday,50.1661092
2005 Dec,Lakes,Visiting friends and relatives,29.4359012
2005 Dec,Lakes,Business,0
2005 Dec,Lakes,Other reason,3.0888352
2005 Dec,Macedon,Holiday,13.7127204
2005 Dec,Macedon,Visiting friends and relatives,32.4464447
2005 Dec,Macedon,Business,0
2005 Dec,Macedon,Other reason,0
2005 Dec,Mallee,Holiday,47.8874064
2005 Dec,Mallee,Visiting friends and relatives,90.2162231
2005 Dec,Mallee,Business,10.0230048
2005 Dec,Mallee,Other reason,21.7949666
2005 Dec,Melbourne East,Holiday,25.0208896
2005 Dec,Melbourne East,Visiting friends and relatives,26.5057325
2005 Dec,Melbourne East,Business,6.1482639
2005 Dec,Melbourne East,Other reason,2.1276885
2005 Dec,Murray East,Holiday,0
2005 Dec,Murray East,Visiting friends and relatives,5.0695165
2005 Dec,Murray East,Business,0
2005 Dec,Murray East,Other reason,0
2005 Dec,Peninsula,Holiday,153.1151292
2005 Dec,Peninsula,Visiting friends and relatives,80.9022038
2005 Dec,Peninsula,Business,19.8148308
2005 Dec,Peninsula,Other reason,4.1681315
2005 Dec,Phillip Island,Holiday,152.2095332
2005 Dec,Phillip Island,Visiting friends and relatives,15.1407908
2005 Dec,Phillip Island,Business,0
2005 Dec,Phillip Island,Other reason,5.0017578
2005 Dec,Spa Country,Holiday,6.756547
2005 Dec,Spa Country,Visiting friends and relatives,14.9531116
2005 Dec,Spa Country,Business,3.0629979
2005 Dec,Spa Country,Other reason,0
2005 Dec,Upper Yarra,Holiday,39.5360497
2005 Dec,Upper Yarra,Visiting friends and relatives,4.3436778
2005 Dec,Upper Yarra,Business,0
2005 Dec,Upper Yarra,Other reason,0
2005 Dec,Western Grampians,Holiday,3.0110888
2005 Dec,Western Grampians,Visiting friends and relatives,16.4017816
2005 Dec,Western Grampians,Business,2.0183453
2005 Dec,Western Grampians,Other reason,0
2005 Dec,Wimmera,Holiday,4.5555066
2005 Dec,Wimmera,Visiting friends and relatives,38.3968315
2005 Dec,Wimmera,Business,72.1505592
2005 Dec,Wimmera,Other reason,0
2005 Dec,Brisbane,Holiday,240.9047118
2005 Dec,Brisbane,Visiting friends and relatives,394.9361388
2005 Dec,Brisbane,Business,192.7973279
2005 Dec,Brisbane,Other reason,60.9477742
2005 Dec,Bundaberg,Holiday,5.4074718
2005 Dec,Bundaberg,Visiting friends and relatives,26.9253551
2005 Dec,Bundaberg,Business,2.7037359
2005 Dec,Bundaberg,Other reason,14.8994249
2005 Dec,Southern Queensland Country,Holiday,24.8568418
2005 Dec,Southern Queensland Country,Visiting friends and relatives,185.9648333
2005 Dec,Southern Queensland Country,Business,52.5671871
2005 Dec,Southern Queensland Country,Other reason,0
2005 Dec,Fraser Coast,Holiday,120.7835119
2005 Dec,Fraser Coast,Visiting friends and relatives,165.0796549
2005 Dec,Fraser Coast,Business,4.9801177
2005 Dec,Fraser Coast,Other reason,0
2005 Dec,Gold Coast,Holiday,788.9135815
2005 Dec,Gold Coast,Visiting friends and relatives,232.0675636
2005 Dec,Gold Coast,Business,78.8801752
2005 Dec,Gold Coast,Other reason,5.8831272
2005 Dec,Mackay,Holiday,25.0000713
2005 Dec,Mackay,Visiting friends and relatives,100.9930864
2005 Dec,Mackay,Business,148.1284979
2005 Dec,Mackay,Other reason,0
2005 Dec,Townsville,Holiday,41.5901864
2005 Dec,Townsville,Visiting friends and relatives,90.1462678
2005 Dec,Townsville,Business,46.8699926
2005 Dec,Townsville,Other reason,0
2005 Dec,Outback Queensland,Holiday,5.3369655
2005 Dec,Outback Queensland,Visiting friends and relatives,140.3891911
2005 Dec,Outback Queensland,Business,77.2875854
2005 Dec,Outback Queensland,Other reason,38.5432502
2005 Dec,Sunshine Coast,Holiday,713.536137
2005 Dec,Sunshine Coast,Visiting friends and relatives,320.9051864
2005 Dec,Sunshine Coast,Business,48.285365
2005 Dec,Sunshine Coast,Other reason,12.5419455
2005 Dec,Tropical North Queensland,Holiday,151.6883104
2005 Dec,Tropical North Queensland,Visiting friends and relatives,50.7805596
2005 Dec,Tropical North Queensland,Business,93.973303
2005 Dec,Tropical North Queensland,Other reason,2.7037358
2005 Dec,Whitsundays,Holiday,148.5857823
2005 Dec,Whitsundays,Visiting friends and relatives,4.129634
2005 Dec,Whitsundays,Business,860.884058
2005 Dec,Whitsundays,Other reason,8.1112077
2005 Dec,Capricorn,Holiday,35.9974448
2005 Dec,Capricorn,Visiting friends and relatives,91.6616645
2005 Dec,Capricorn,Business,43.6234915
2005 Dec,Capricorn,Other reason,40.0385686
2005 Dec,Gladstone,Holiday,26.560628
2005 Dec,Gladstone,Visiting friends and relatives,50.5109259
2005 Dec,Gladstone,Business,36.167805
2005 Dec,Gladstone,Other reason,0
2005 Dec,Adelaide,Holiday,262.7571744
2005 Dec,Adelaide,Visiting friends and relatives,208.9803209
2005 Dec,Adelaide,Business,88.8608946
2005 Dec,Adelaide,Other reason,63.7665727
2005 Dec,Adelaide Hills,Holiday,6.7289822
2005 Dec,Adelaide Hills,Visiting friends and relatives,14.1138989
2005 Dec,Adelaide Hills,Business,0
2005 Dec,Adelaide Hills,Other reason,0
2005 Dec,Barossa,Holiday,5.8670565
2005 Dec,Barossa,Visiting friends and relatives,15.7630802
2005 Dec,Barossa,Business,0
2005 Dec,Barossa,Other reason,0
2005 Dec,Clare Valley,Holiday,46.4015253
2005 Dec,Clare Valley,Visiting friends and relatives,7.0378418
2005 Dec,Clare Valley,Business,11.726659
2005 Dec,Clare Valley,Other reason,0
2005 Dec,Eyre Peninsula,Holiday,62.0669419
2005 Dec,Eyre Peninsula,Visiting friends and relatives,15.6812085
2005 Dec,Eyre Peninsula,Business,47.786691
2005 Dec,Eyre Peninsula,Other reason,5.0486728
2005 Dec,Fleurieu Peninsula,Holiday,90.5837695
2005 Dec,Fleurieu Peninsula,Visiting friends and relatives,20.1582234
2005 Dec,Fleurieu Peninsula,Business,14.6025606
2005 Dec,Fleurieu Peninsula,Other reason,0.698901
2005 Dec,Limestone Coast,Holiday,29.7619146
2005 Dec,Limestone Coast,Visiting friends and relatives,30.5518178
2005 Dec,Limestone Coast,Business,22.4748161
2005 Dec,Limestone Coast,Other reason,3.1068686
2005 Dec,"Murray River, Lakes and Coorong",Holiday,33.1053725
2005 Dec,"Murray River, Lakes and Coorong",Visiting friends and relatives,16.2284686
2005 Dec,"Murray River, Lakes and Coorong",Business,0
2005 Dec,"Murray River, Lakes and Coorong",Other reason,0
2005 Dec,Riverland,Holiday,22.3228529
2005 Dec,Riverland,Visiting friends and relatives,51.0456266
2005 Dec,Riverland,Business,0
2005 Dec,Riverland,Other reason,0
2005 Dec,Yorke Peninsula,Holiday,69.8879834
2005 Dec,Yorke Peninsula,Visiting friends and relatives,41.5792852
2005 Dec,Yorke Peninsula,Business,5.8901178
2005 Dec,Yorke Peninsula,Other reason,0
2005 Dec,Flinders Ranges and Outback,Holiday,20.2201767
2005 Dec,Flinders Ranges and Outback,Visiting friends and relatives,13.7319407
2005 Dec,Flinders Ranges and Outback,Business,54.0412973
2005 Dec,Flinders Ranges and Outback,Other reason,1.682891
2005 Dec,Kangaroo Island,Holiday,20.4860949
2005 Dec,Kangaroo Island,Visiting friends and relatives,2.662111
2005 Dec,Kangaroo Island,Business,12.6136642
2005 Dec,Kangaroo Island,Other reason,0
2005 Dec,Destination Perth,Holiday,348.6163546
2005 Dec,Destination Perth,Visiting friends and relatives,289.4962397
2005 Dec,Destination Perth,Business,134.2547347
2005 Dec,Destination Perth,Other reason,46.444312
2005 Dec,Australia's Golden Outback,Holiday,41.4983678
2005 Dec,Australia's Golden Outback,Visiting friends and relatives,43.6371366
2005 Dec,Australia's Golden Outback,Business,86.3414958
2005 Dec,Australia's Golden Outback,Other reason,3.0290534
2005 Dec,Australia's North West,Holiday,18.1938068
2005 Dec,Australia's North West,Visiting friends and relatives,14.7101143
2005 Dec,Australia's North West,Business,153.7301398
2005 Dec,Australia's North West,Other reason,8.1540245
2005 Dec,Australia's South West,Holiday,419.2899671
2005 Dec,Australia's South West,Visiting friends and relatives,209.9911387
2005 Dec,Australia's South West,Business,128.947958
2005 Dec,Australia's South West,Other reason,29.9529298
2005 Dec,Australia's Coral Coast,Holiday,104.4684973
2005 Dec,Australia's Coral Coast,Visiting friends and relatives,43.9552502
2005 Dec,Australia's Coral Coast,Business,39.928905
2005 Dec,Australia's Coral Coast,Other reason,1.7309972
2005 Dec,Hobart and the South,Holiday,130.8733336
2005 Dec,Hobart and the South,Visiting friends and relatives,92.1211193
2005 Dec,Hobart and the South,Business,18.5552695
2005 Dec,Hobart and the South,Other reason,2.6480872
2005 Dec,East Coast,Holiday,38.2544343
2005 Dec,East Coast,Visiting friends and relatives,30.8102296
2005 Dec,East Coast,Business,0.6304366
2005 Dec,East Coast,Other reason,0
2005 Dec,Launceston and the North,Holiday,90.3312592
2005 Dec,Launceston and the North,Visiting friends and relatives,37.7246365
2005 Dec,Launceston and the North,Business,27.8165656
2005 Dec,Launceston and the North,Other reason,2.3133924
2005 Dec,North West,Holiday,23.578411
2005 Dec,North West,Visiting friends and relatives,26.6846735
2005 Dec,North West,Business,5.2924722
2005 Dec,North West,Other reason,32.9252592
2005 Dec,West Coast,Holiday,26.0080251
2005 Dec,West Coast,Visiting friends and relatives,2.9680468
2005 Dec,West Coast,Business,4.9420538
2005 Dec,West Coast,Other reason,1.6271071
2005 Dec,Darwin,Holiday,12.621433
2005 Dec,Darwin,Visiting friends and relatives,21.5608268
2005 Dec,Darwin,Business,26.7323958
2005 Dec,Darwin,Other reason,4.4711072
2005 Dec,Barkly,Holiday,1.7789885
2005 Dec,Barkly,Visiting friends and relatives,1.0311252
2005 Dec,Barkly,Business,3.1068686
2005 Dec,Barkly,Other reason,0
2005 Dec,Alice Springs,Holiday,8.3183223
2005 Dec,Alice Springs,Visiting friends and relatives,4.2647335
2005 Dec,Alice Springs,Business,7.269773
2005 Dec,Alice Springs,Other reason,0
2005 Dec,Litchfield Kakadu Arnhem,Holiday,0
2005 Dec,Litchfield Kakadu Arnhem,Visiting friends and relatives,10.916442
2005 Dec,Litchfield Kakadu Arnhem,Business,5.3183806
2005 Dec,Litchfield Kakadu Arnhem,Other reason,0
2005 Dec,Katherine Daly,Holiday,2.8281449
2005 Dec,Katherine Daly,Visiting friends and relatives,0.5909312
2005 Dec,Katherine Daly,Business,17.121274
2005 Dec,Katherine Daly,Other reason,0
2005 Dec,Lasseter,Holiday,9.6130129
2005 Dec,Lasseter,Visiting friends and relatives,0
2005 Dec,Lasseter,Business,0
2005 Dec,Lasseter,Other reason,0
2005 Dec,MacDonnell,Holiday,0
2005 Dec,MacDonnell,Visiting friends and relatives,0
2005 Dec,MacDonnell,Business,0
2005 Dec,MacDonnell,Other reason,0
2005 Dec,Canberra,Holiday,42.5432697
2005 Dec,Canberra,Visiting friends and relatives,146.5012896
2005 Dec,Canberra,Business,73.4385681
2005 Dec,Canberra,Other reason,12.9971878
2006 Jan,Sydney,Holiday,1109.198716
2006 Jan,Sydney,Visiting friends and relatives,1676.667538
2006 Jan,Sydney,Business,167.174387
2006 Jan,Sydney,Other reason,308.458914
2006 Jan,Blue Mountains,Holiday,65.656421
2006 Jan,Blue Mountains,Visiting friends and relatives,64.320286
2006 Jan,Blue Mountains,Business,43.93104
2006 Jan,Blue Mountains,Other reason,7.6139
2006 Jan,Capital Country,Holiday,89.961396
2006 Jan,Capital Country,Visiting friends and relatives,127.140432
2006 Jan,Capital Country,Business,0
2006 Jan,Capital Country,Other reason,0
2006 Jan,Central Coast,Holiday,791.884372
2006 Jan,Central Coast,Visiting friends and relatives,323.086404
2006 Jan,Central Coast,Business,21.195213
2006 Jan,Central Coast,Other reason,0
2006 Jan,Central NSW,Holiday,215.327728
2006 Jan,Central NSW,Visiting friends and relatives,425.176401
2006 Jan,Central NSW,Business,117.835249
2006 Jan,Central NSW,Other reason,21.380121
2006 Jan,Hunter,Holiday,985.277903
2006 Jan,Hunter,Visiting friends and relatives,556.845465
2006 Jan,Hunter,Business,131.504563
2006 Jan,Hunter,Other reason,0
2006 Jan,New England North West,Holiday,236.011923
2006 Jan,New England North West,Visiting friends and relatives,222.647444
2006 Jan,New England North West,Business,46.794652
2006 Jan,New England North West,Other reason,20.541768
2006 Jan,North Coast NSW,Holiday,2359.868
2006 Jan,North Coast NSW,Visiting friends and relatives,925.231637
2006 Jan,North Coast NSW,Business,82.965945
2006 Jan,North Coast NSW,Other reason,4.78899
2006 Jan,Outback NSW,Holiday,73.876344
2006 Jan,Outback NSW,Visiting friends and relatives,17.565379
2006 Jan,Outback NSW,Business,0
2006 Jan,Outback NSW,Other reason,0
2006 Jan,Riverina,Holiday,74.076378
2006 Jan,Riverina,Visiting friends and relatives,222.881824
2006 Jan,Riverina,Business,8.274576
2006 Jan,Riverina,Other reason,2.829344
2006 Jan,Snowy Mountains,Holiday,208.946319
2006 Jan,Snowy Mountains,Visiting friends and relatives,48.095814
2006 Jan,Snowy Mountains,Business,35.557902
2006 Jan,Snowy Mountains,Other reason,0
2006 Jan,South Coast,Holiday,2592.066761
2006 Jan,South Coast,Visiting friends and relatives,703.39959
2006 Jan,South Coast,Business,21.853057
2006 Jan,South Coast,Other reason,56.609287
2006 Jan,The Murray,Holiday,329.086963
2006 Jan,The Murray,Visiting friends and relatives,102.67321
2006 Jan,The Murray,Business,14.713492
2006 Jan,The Murray,Other reason,0.610421
2006 Jan,Melbourne,Holiday,1357.739481
2006 Jan,Melbourne,Visiting friends and relatives,1266.13011
2006 Jan,Melbourne,Business,151.505114
2006 Jan,Melbourne,Other reason,124.654635
2006 Jan,Ballarat,Holiday,48.226388
2006 Jan,Ballarat,Visiting friends and relatives,59.288827
2006 Jan,Ballarat,Business,2.651074
2006 Jan,Ballarat,Other reason,0.541876
2006 Jan,Bendigo Loddon,Holiday,127.504675
2006 Jan,Bendigo Loddon,Visiting friends and relatives,78.220389
2006 Jan,Bendigo Loddon,Business,10.634422
2006 Jan,Bendigo Loddon,Other reason,0
2006 Jan,Central Highlands,Holiday,83.731261
2006 Jan,Central Highlands,Visiting friends and relatives,12.52668
2006 Jan,Central Highlands,Business,0
2006 Jan,Central Highlands,Other reason,0
2006 Jan,Central Murray,Holiday,233.222172
2006 Jan,Central Murray,Visiting friends and relatives,138.408741
2006 Jan,Central Murray,Business,0
2006 Jan,Central Murray,Other reason,0
2006 Jan,Geelong and the Bellarine,Holiday,636.40615
2006 Jan,Geelong and the Bellarine,Visiting friends and relatives,256.802005
2006 Jan,Geelong and the Bellarine,Business,0
2006 Jan,Geelong and the Bellarine,Other reason,7.728772
2006 Jan,Gippsland,Holiday,318.336738
2006 Jan,Gippsland,Visiting friends and relatives,153.124784
2006 Jan,Gippsland,Business,0
2006 Jan,Gippsland,Other reason,5.679652
2006 Jan,Goulburn,Holiday,46.331634
2006 Jan,Goulburn,Visiting friends and relatives,91.59752
2006 Jan,Goulburn,Business,6.235612
2006 Jan,Goulburn,Other reason,0
2006 Jan,Great Ocean Road,Holiday,1105.554987
2006 Jan,Great Ocean Road,Visiting friends and relatives,258.664063
2006 Jan,Great Ocean Road,Business,12.252454
2006 Jan,Great Ocean Road,Other reason,0
2006 Jan,High Country,Holiday,398.819596
2006 Jan,High Country,Visiting friends and relatives,126.948874
2006 Jan,High Country,Business,17.989579
2006 Jan,High Country,Other reason,0
2006 Jan,Lakes,Holiday,229.360095
2006 Jan,Lakes,Visiting friends and relatives,63.598342
2006 Jan,Lakes,Business,0
2006 Jan,Lakes,Other reason,0
2006 Jan,Macedon,Holiday,13.036701
2006 Jan,Macedon,Visiting friends and relatives,42.950673
2006 Jan,Macedon,Business,0
2006 Jan,Macedon,Other reason,0
2006 Jan,Mallee,Holiday,148.790607
2006 Jan,Mallee,Visiting friends and relatives,173.566365
2006 Jan,Mallee,Business,0
2006 Jan,Mallee,Other reason,2.968302
2006 Jan,Melbourne East,Holiday,21.835823
2006 Jan,Melbourne East,Visiting friends and relatives,54.280053
2006 Jan,Melbourne East,Business,11.420848
2006 Jan,Melbourne East,Other reason,1.87415
2006 Jan,Murray East,Holiday,25.546185
2006 Jan,Murray East,Visiting friends and relatives,14.283826
2006 Jan,Murray East,Business,2.839827
2006 Jan,Murray East,Other reason,0
2006 Jan,Peninsula,Holiday,775.225981
2006 Jan,Peninsula,Visiting friends and relatives,190.73076
2006 Jan,Peninsula,Business,0
2006 Jan,Peninsula,Other reason,21.034683
2006 Jan,Phillip Island,Holiday,675.368864
2006 Jan,Phillip Island,Visiting friends and relatives,56.804304
2006 Jan,Phillip Island,Business,13.002045
2006 Jan,Phillip Island,Other reason,0
2006 Jan,Spa Country,Holiday,19.487397
2006 Jan,Spa Country,Visiting friends and relatives,32.461836
2006 Jan,Spa Country,Business,0
2006 Jan,Spa Country,Other reason,0
2006 Jan,Upper Yarra,Holiday,109.313246
2006 Jan,Upper Yarra,Visiting friends and relatives,33.945354
2006 Jan,Upper Yarra,Business,0
2006 Jan,Upper Yarra,Other reason,2.70554
2006 Jan,Western Grampians,Holiday,26.488207
2006 Jan,Western Grampians,Visiting friends and relatives,62.155772
2006 Jan,Western Grampians,Business,5.58957
2006 Jan,Western Grampians,Other reason,4.63145
2006 Jan,Wimmera,Holiday,17.596536
2006 Jan,Wimmera,Visiting friends and relatives,61.303948
2006 Jan,Wimmera,Business,0
2006 Jan,Wimmera,Other reason,0
2006 Jan,Brisbane,Holiday,1473.179068
2006 Jan,Brisbane,Visiting friends and relatives,1122.318744
2006 Jan,Brisbane,Business,128.63727
2006 Jan,Brisbane,Other reason,18.731263
2006 Jan,Bundaberg,Holiday,107.017005
2006 Jan,Bundaberg,Visiting friends and relatives,53.635599
2006 Jan,Bundaberg,Business,66.685592
2006 Jan,Bundaberg,Other reason,0
2006 Jan,Southern Queensland Country,Holiday,182.499494
2006 Jan,Southern Queensland Country,Visiting friends and relatives,141.110266
2006 Jan,Southern Queensland Country,Business,43.625336
2006 Jan,Southern Queensland Country,Other reason,126.767879
2006 Jan,Fraser Coast,Holiday,174.173436
2006 Jan,Fraser Coast,Visiting friends and relatives,158.990228
2006 Jan,Fraser Coast,Business,1.86319
2006 Jan,Fraser Coast,Other reason,0
2006 Jan,Gold Coast,Holiday,1866.173902
2006 Jan,Gold Coast,Visiting friends and relatives,373.878315
2006 Jan,Gold Coast,Business,595.266318
2006 Jan,Gold Coast,Other reason,6.843658
2006 Jan,Mackay,Holiday,102.909991
2006 Jan,Mackay,Visiting friends and relatives,80.110249
2006 Jan,Mackay,Business,104.441275
2006 Jan,Mackay,Other reason,0
2006 Jan,Townsville,Holiday,118.846319
2006 Jan,Townsville,Visiting friends and relatives,104.898391
2006 Jan,Townsville,Business,9.763394
2006 Jan,Townsville,Other reason,9.254607
2006 Jan,Outback Queensland,Holiday,74.306213
2006 Jan,Outback Queensland,Visiting friends and relatives,55.988259
2006 Jan,Outback Queensland,Business,23.041796
2006 Jan,Outback Queensland,Other reason,0
2006 Jan,Sunshine Coast,Holiday,1326.047809
2006 Jan,Sunshine Coast,Visiting friends and relatives,577.968346
2006 Jan,Sunshine Coast,Business,30.805816
2006 Jan,Sunshine Coast,Other reason,0
2006 Jan,Tropical North Queensland,Holiday,502.923121
2006 Jan,Tropical North Queensland,Visiting friends and relatives,172.468188
